extId,setSize,half,wmc
IS0276,3,2,0.583333333
IS0276,6,1,0.25
IS0276,6,2,0.375
IS2838,3,1,1
IS2838,3,2,1
IS2838,6,1,0.833333333
IS2838,6,2,0.791666667
IU1413,3,1,1
IU1413,3,2,1
IU1413,6,1,1
IU1413,6,2,1
IZ0746,3,1,0.5
IZ0746,3,2,0.333333333
IZ0746,6,1,0.208333333
IZ0746,6,2,0.208333333
IZ2252,3,1,0.916666667
IZ2252,3,2,0.916666667
IZ2252,6,1,0.75
IZ2252,6,2,1
JA2010,3,1,1
JA2010,3,2,0.833333333
JA2010,6,1,0.916666667
JA2010,6,2,0.916666667
JA2226,3,1,0.333333333
JA2226,3,2,0.333333333
JA2226,6,1,0.375
JA2226,6,2,0.333333333
KA0797,3,1,1
KA0797,3,2,1
KA0797,6,1,0.791666667
KA0797,6,2,1
KA12453,3,1,1
KA12453,3,2,1
KA12453,6,1,0.916666667
KA12453,6,2,1
KA1365,3,1,1
KA1365,3,2,1
KA1365,6,1,0.875
KA1365,6,2,0.958333333
KA1447,3,1,1
KA1447,3,2,1
KA1447,6,1,0.5
KA1447,6,2,0.833333333
KA1880,3,1,1
KA1880,3,2,1
KA1880,6,1,0.958333333
KA1880,6,2,0.916666667
KE1191,3,1,1
KE1191,3,2,1
KE1191,6,1,1
KE1191,6,2,1
KE2465,3,1,1
KE2465,3,2,1
KE2465,6,1,1
KE2465,6,2,1
KE2580,3,1,1
KE2580,3,2,0.833333333
KE2580,6,1,1
KE2580,6,2,0.958333333
LA0766,3,1,1
LA0766,3,2,1
LA0766,6,1,0.833333333
LA0766,6,2,0.708333333
LA1201,3,1,0.416666667
LA1201,3,2,0.333333333
LA1201,6,1,0.25
LA1201,6,2,0.375
LA1351,3,1,0.916666667
LA1351,3,2,1
LA1351,6,1,0.75
LA1351,6,2,0.333333333
LA1360,3,1,1
LA1360,3,2,1
LA1360,6,1,0.583333333
LA1360,6,2,0.625
LA1521,3,1,1
LA1521,3,2,1
LA1521,6,1,0.958333333
LA1521,6,2,0.75
LA2498,3,1,1
LA2498,3,2,0.75
LA2498,6,1,0.666666667
