"extId","BAT.ability","BAT.ability_sem","BAT.num_items"
"RA2037",1.837855657,0.610773917,25
"IE2827",1.405226618,0.613202951,25
"IN2774",0.354585019,0.683199378,25
"NE3022",0.220738792,0.578079161,25
"UR1876",0.182917944,0.586060765,25
"DI0621",-1.758620418,1.242112328,25
"MA2107",-0.077673767,0.588750637,25
"IT0947",-0.129682919,0.619223254,25
"ER0194",0.817288768,0.586959494,25
"AD0645",-0.055628171,0.610338041,25
"IZ0746",-1.386500007,0.841985296,25
"AG1208",-1.551367608,0.81543798,25
"AM2586",0.032447002,0.612277577,25
"EL0968",1.246909843,0.585056478,25
"AN2176",0.357425048,0.611872152,25
"IZ2252",0.269210255,0.588036552,25
"FA3189",0.53846195,0.613150454,25
"YA1185",-1.052259954,0.93098883,25
"HA1083",-1.969233364,0.982691654,25
"AN2840",1.085817602,0.590632897,25
"ET0193",0.023718563,0.584451435,25
"SA0914",0.784056479,0.588139054,25
"SZ0779",-0.994109779,0.655269171,25
"RI0316",0.609520598,0.58886008,25
"UH1865",0.113199584,0.60948482,25
"AY0849",-0.040877965,0.589208512,25
"AR1989",0.39063695,0.616854445,25
"IF1417",-1.226424945,0.640972231,25
"RA2435",-0.561496457,0.653903688,25
"YA2363",0.018097043,0.61339447,25
"UR2297",-1.470988419,0.840535081,25
"EM0118",-3.971605888,3.075194645,25
"ET0355",-1.224012034,0.715187149,25
"IA1139",0.039623014,0.590354678,25
"EL12050431",-0.337278908,0.585017474,25
"IE0242",0.526767936,0.580957572,25
"TA0451",-0.188137129,0.610543054,25
"EE0753",-0.581441715,0.609988086,25
"EO0891",-0.817842177,0.649786142,25
"YI2480",0.22636521,0.592816299,25
"IE0565",0.348170025,0.590376692,25
"CA2680",-0.480347453,0.656135604,25
"IS0276",1.530856181,0.587707047,25
"LY2811",-0.465725023,0.613158051,25
"OT0758",-2.52697555,1.214325655,25
"YA1703",0.362586669,0.586740065,25
"SH1504",0.551703968,0.584179963,25
"UB1675",0.577163765,0.58103908,25
"DA0594",0.204182351,0.584295855,25
"ME2455",-1.222531503,0.729612771,25
"AR0464",-2.758728035,0.899661151,25
"YU0785",-2.415967216,1.634500143,25
"EL0562",0.327784599,0.59538532,25
"IE1199",0.882104734,0.579082963,25
"ES1586",0.111130937,0.614787441,25
"YS1669",-0.392460705,0.609414502,25
"UN1577",-1.463500855,0.841675857,25
"NG2907",0.254772294,0.58363617,25
"HI2999",-0.319440207,0.611114262,25
"RO2840",0.530201563,0.575977166,25
"AM2391",0.890511838,0.585495988,25
"IE2304",-0.039506561,0.788842253,25
"ER3038",0.556136676,0.578290849,25
"NG1897",1.841045788,0.599233555,25
"TH0246",-1.849695919,1.177476113,25
"IE1589",-1.317698813,0.882558261,25
"NA1268",-0.241002273,0.612978386,25
"EL2887",0.395623976,0.586964827,25
"BE0899",-0.070742077,0.611498842,25
"AN2240",-0.033082398,0.614111496,25
"FA1171",-0.902398004,0.655431691,25
"IM1173",-1.448768014,0.846924539,25
"NA0742",0.0243654,0.609985938,25
"DA0321",-3.949444958,2.963033856,25
"KE1191",0.553731392,0.612965072,25
