"extId","MDT.ability","MDT.ability_sem","MDT.num_items"
"LI0528",-0.120593482,0.479970867,20
"EW1371",-0.334458674,0.511823822,20
"NI2038",-3.586816011,3.104780785,20
"IL0314",-0.071394615,0.52039994,20
"IE1555",-1.433768549,0.604714974,20
"NA1874",-1.104680702,0.626687371,20
"LA0766",-0.777931743,0.476816065,20
"IA2689",2.013933409,0.516234524,20
"IE0817",-0.948919827,0.560529094,20
"NG1142",0.788393427,0.501130983,20
"DU1145",-0.081921168,0.490481351,20
"IM0389",0.44498437,0.498081028,20
"HA0538",0.178356676,0.481289465,20
"MY3136",1.065942029,0.496711858,20
"CK0735",0.146795921,0.492617941,20
"RA1724",-1.723154167,0.616282826,20
"NI2709",0.18505432,0.483164658,20
"TH1090",1.076172249,0.502855138,20
"IU1413",1.982845101,0.514820598,20
"CA3097",-0.803700125,0.553647027,20
"CP0636",0.588790001,0.510778297,20
"RA3059",0.153478771,0.524228801,20
"EL0448",-2.057756955,0.719169092,20
"MA0417",-3.367778997,2.43710122,20
"AN0527",0.743673426,0.484060358,20
"SA2280",-0.063578641,0.482106862,20
"AN1953",-0.258479484,0.492134828,20
"EL0989",1.054405169,0.508196677,20
"LA2597",0.996353548,0.494380588,20
"EA0378",1.167688247,0.502550149,20
"AN1300",-1.600054662,0.549075654,20
"HA2096",-1.222188139,0.559224415,20
"YN1017",0.238730371,0.483203035,20
"NI1880",1.046972558,0.493373293,20
"RA1335",1.459670005,0.497742555,20
"NA1579",-1.051249274,0.543640925,20
"AN0596",-0.637038555,0.515527573,20
"RI0573",-0.232886564,0.482090948,20
