"extId","generalSophistication","WMC3","WMC6","MDT.ability","MDT.ability_sem","BAT.ability","BAT.ability_sem","Age","BioSex","Education","Education_Year","Ethnicity","Musicianship","processing","LAQ_music"
"AN3158",51,1,0.8125,-0.287367183,0.51484103,-2.393593918,1.717757972,25,"Male","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",16,"Asian / Asian British",2,1,1
"AO2840",83,1,1,-0.084083081,0.478929253,-0.381864068,0.609838779,23,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",16,"White",2,0.972222222222222,1
"AR0464",50,0.8333333335,0.5833333335,-2.625651143,1.138445743,-2.758728035,0.899661151,19,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"White",2,0.902777777777778,1
"AR1915",70,0.375,0.2291666665,-1.114456233,0.610056494,-0.880935888,0.732400982,28,"Female","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",18,"Asian / Asian British",2,1,3
"AR1989",43,1,0.9166666665,-0.724987588,0.477233703,0.39063695,0.616854445,34,"Female","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",18,"Asian / Asian British",2,0.986111111111111,1
"AS2138",93,1,0.8125,-0.248795176,0.489095726,0.78484344,0.577588847,20,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",16,"White",1,1,5
"AY0849",43,0.875,0.8333333335,0.454531387,0.482420827,-0.040877965,0.589208512,26,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",21,"White",2,0.972222222222222,1
"AY1953",39,1,0.875,-0.943372128,0.509576112,-1.323154309,0.908408315,29,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",19,"White",2,0.916666666666667,1
"BE0899",34,1,0.7708333335,-0.345899315,0.574794542,-0.070742077,0.611498842,19,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"White",2,0.930555555555556,1
"BE1252",69,1,0.916666667,0.825800983,0.483489149,0.756560603,0.579956657,21,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",13,"White",2,0.986111111111111,1
"CA2618",65,1,0.6041666665,-1.00661391,0.51235539,0.498010412,0.617229841,29,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",16,"White",2,0.986111111111111,1
"CA2680",60,1,0.8125,-1.331698649,0.637831041,-0.480347453,0.656135604,18,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"White",2,0.958333333333333,1
"CA3097",50,1,0.9583333335,-0.803700125,0.553647027,0.138608769,0.611491218,19,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"White",2,0.986111111111111,1
"CE2244",41,1,0.791666667,-1.600054662,0.549075654,-0.18374018,0.673734268,25,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",17,"White",2,0.944444444444444,1
"CK0735",99,1,0.8333333335,0.146795921,0.492617941,-0.127562053,0.664175331,22,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"White",1,0.986111111111111,4
"CP0636",52,0.9166666665,0.7916666665,0.588790001,0.510778297,0.623801457,0.590614907,18,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",13,"White",2,0.958333333333333,1
"CY2785",64,1,1,1.26486102,0.506763421,0.000791056,0.616174068,18,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"White",2,0.972222222222222,2
"DA0321",72,0.625,0.75,-2.274824658,0.940904149,-3.949444958,2.963033856,28,"Female","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",20,"White",2,0.986111111111111,2
"DA0594",48,1,0.7291666665,-0.166334033,0.479371626,0.204182351,0.584295855,19,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",13,"White",2,0.930555555555556,1
"DA1109",41,0.9583333335,0.7916666665,-0.429615824,0.52274635,0.34121388,0.584218679,34,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",18,"White",2,1,1
"DA2623",60,1,0.875,0.474145548,0.496824106,-0.866485663,0.647826489,20,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"Asian / Asian British",2,0.972222222222222,1
"DI0621",55,0.8333333335,0.8125,-0.934178714,0.560894387,-1.758620418,1.242112328,30,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",18,"White",2,0.986111111111111,1
"DI1828",62,0.375,0.333333333,-0.567735431,0.560030627,0.701665379,0.585490564,24,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",17,"Prefer not to answer",2,0.986111111111111,1
"DU1145",68,0.375,0.25,-0.081921168,0.490481351,-0.99979487,0.649925138,18,"Female","Prefer not to answer",17,"Black / African / Caribbean / Black British",2,0.819444444444444,3
"EA0378",101,0.375,0.166666667,1.167688247,0.502550149,-0.16541081,0.586786631,20,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"Asian / Asian British",2,0.972222222222222,3
"EE0753",71,0.9166666665,0.875,0.462170991,0.494183828,-0.581441715,0.609988086,25,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",16,"Asian / Asian British",2,1,2
"EH2880",70,0.7916666665,0.8333333335,-0.369075663,0.477680005,-1.80170937,0.786350665,22,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",8,"Asian / Asian British",2,0.958333333333333,1
"EI2360",57,1,0.9791666665,-0.045929642,0.519769671,0.181392406,0.576886497,30,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",25,"Asian / Asian British",2,0.986111111111111,1
